 ,PARTNERNR,last_name,first_name,TEL_PORTAL_MOBIL,EMAIL_PORTAL,GEB_D,GESCHLECHT,SPRACHE,STRASSE,HAUSNUMMER,PLZ,ORT,LAND,ZAHLUNGSPROFIL,ZAHLUNGSMITTEL_INKASSO ,ZAHLUNGSADRESSETYP_INKASSO,BANK_INKASSO,ZAHLUNGSMITTEL_EXKASSO,ZAHLUNGSADRESSETYP_EXKASSO,BANK_EXKASSO,GRUNDVERSICHERUNG_MODELL,PRODUKT,PRODUKT_PORTFOLIO,GESETZ,PRODUKTEPRÄMIE,GESAMTPRÄMIE,HAUSARZT,FRANCHISE
61122851,61122851,Fröhlich,Katarzyna Mariola,,,1/30/1967,w,FR,Avenue d'Yverdon,3,1004,Lausanne,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BeneFit PLUS Telemedizin,,"Helsana BeneFit PLUS Telemedizin,","KVGO,","493.45,",493.45,  ,300
61139835,61139835,Lorenz,Sascha Sven,41986582664,SaschaSven.Lorenz@mymail.com,2/26/1955,m,DE,Junkerstrasse,64,78266,Büsingen (D),DE,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Ausland,,"Helsana BASIS Ausland,","KVGO,","316.2,",316.2,  ,300
61148654,61148654,Görkem,Fredy,419811363344,Fredy.Goerkem@mymail.com,6/30/1971,m,DE,Hofgartenweg,10,3957,Erschmatt,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,SALARIA VVG,,"SALARIA VVG,","VVG,","63.9,",63.9,  ,
61176535,61176535,Grano,Corinne,41984291196,Corinne.Grano@mymail.com,8/8/1992,w,FR,Rue De-Candolle,30,1205,Genève,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL PLUS,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL PLUS,","KVGO,VVG,VVG,","529.05,54.05,129.4,",712.5,E268025 Gubser Sarah,300
61180072,61180072,Ruch,Jemin,41982634717,Jemin.Ruch@mymail.com,4/13/1990,m,FR,Route de Marchissy,8A,1261,Longirod,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"COMPLETA,COMPLETA EXTRA,DENTAplus,HOSPITAL FLEX,","Helsana BeneFit PLUS Hausarzt,COMPLETA,COMPLETA EXTRA,DENTAplus,HOSPITAL FLEX,","KVGO,VVG,VVG,VVG,VVG,","368.25,36.9,21,17.35,24,",467.5,O471822 Paul Sophie,2500
61180072,100444222,Ruch,Luise,41983429448,Luise.Ruch@mymail.com,5/24/1987,w,FR,Route de Marchissy,8A,1261,Longirod,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL FLEX,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL FLEX,TOP,","KVGO,VVG,VVG,","487.55,46.1,18.65,",552.3,O471822 Paul Sophie,300
61180072,101047583,Le,Richard,,,10/31/2021,m,FR,Route de Marchissy,8A,1261,Longirod,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,","136.55,25.25,.75,0,4.5,",167.05,B399922 Kissling-Rana Sarah,0
61198592,61198592,Krieg,Johann-Friedrich,,,4/11/2002,m,DE,Friedensstrasse,4B,4512,Bellach,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Telemedizin,,"Helsana BeneFit PLUS Telemedizin,","KVGO,","220.95,",220.95,  ,2500
61206923,61206923,Mijailovic,Tanja,,,5/4/1975,w,FR,Chemin de Riant-Mont,25,1030,Bussigny,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banque Cantonale Vaudoise,Helsana BeneFit PLUS Telemedizin,,"Helsana BeneFit PLUS Telemedizin,","KVGO,","460.95,",460.95,  ,1500
61246075,61246075,Ursino,Jenifer Flavia,,,11/5/1988,w,FR,Sentier du Danube,1,1024,Ecublens VD,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"HOSPITAL ECO,TOP,","HOSPITAL ECO,TOP,","VVG,VVG,","2.55,23.05,",25.6,  ,
61398841,61398841,Perruchoud,Vanessa,41982156185,Vanessa.Perruchoud@mymail.com,3/29/1991,w,DE,Im Schwobenacher,3,4133,Pratteln,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","463.65,",463.65,Q105413 Dietler-Trochen Nadja,300
61398841,61398842,Perruchoud,Halit,,,3/24/1990,m,DE,Im Schwobenacher,3,4133,Pratteln,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","344.35,",344.35,Q105413 Dietler-Trochen Nadja,2500
61398841,61398843,Perruchoud,Tiberio,,,12/29/2013,m,DE,Im Schwobenacher,3,4133,Pratteln,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","136.05,",136.05,Q075313 Streitberg Michael,0
61398841,101326011,Perruchoud,Eva Celestina,,,10/13/2019,w,DE,Im Schwobenacher,3,4133,Pratteln,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","136.05,",136.05,Q075313 Streitberg Michael,0
61473950,61473950,Gschwend,Astrid,,,8/28/2004,w,FR,Avenue Nestlé,28,1800,Vevey,CH,Standardzahler,QR-Rechnung,,,ASR (Auszahlungsscheck),,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","290.35,",290.35,Z749022 Medbase Vevey ,2500
70197675,70197675,Brandrup,Glady Acorta,41983243041,Glady.Brandrup@mymail.com,11/30/1986,w,FR,Ruelle du Lapin-Vert,1,1005,Lausanne,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","368.25,2.4,29.8,21.9,",422.35,J081422 Perdrix Anne,2500
70213276,70213276,Bredow,Kevin,41985213584,Kevin.Bredow@mymail.com,1/9/1994,m,DE,Greifenseestrasse,4,8050,Zürich,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,ASR (Auszahlungsscheck),,,Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","543.35,",543.35,  ,300
70217371,70217371,Wolfenstädter,Ludovic,,,10/17/1937,m,DE,Fröschenthalweg,18,4852,Rothrist,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"HOSPITAL ECO,PREVEA Unfall,TOP,","Helsana BASIS Standard,HOSPITAL ECO,PREVEA Unfall,TOP,","KVGO,VVG,VVG,VVG,","396.35,11.4,9.5,33.7,",450.95,  ,2500
70217371,70217372,Wolfenstädter,Cornelia,,,3/11/1941,w,DE,Fröschenthalweg,18,4852,Rothrist,CH,,,,,,,,Helsana BASIS Standard,"HOSPITAL ECO,PREVEA Unfall,TOP,","Helsana BASIS Standard,HOSPITAL ECO,PREVEA Unfall,TOP,","KVGO,VVG,VVG,VVG,","396.35,11.4,9.5,38.35,",455.6,  ,2500
70229010,70229010,Fitos,Marcin,,,10/24/1976,m,DE,Wiggiswilweg,17,3322,Urtenen-Schönbühl,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","548.05,",548.05,  ,500
70297707,100908158,Hof,Kenny,,,8/23/2009,m,FR,Maix-Baillod,42,2414,Le Cerneux-Péquignot,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,,"Helsana BeneFit PLUS Telemedizin,","KVGO,","127.45,",127.45,  ,0
70372384,70372384,Grmaca,Ivo,,,12/4/1975,m,DE,Eymattstrasse,9,3027,Bern,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","479.25,2.9,12.6,23.8,17.5,",536.05,  ,1500
70400601,70400601,Ferreira Da Silva,Django,41983262743,Django.FerreiraDaSilva@mymail.com,3/24/1974,m,DE,Bauisstrasse,1,8702,Zollikon,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","435.55,",435.55,  ,1500
70491447,70491447,Lisi,Nancy,41989599100,Nancy.Lisi@mymail.com,2/7/1977,w,DE,Grundackerstrasse,16,8304,Wallisellen,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,TOP,","KVGO,VVG,VVG,","450.05,3.1,18.45,",471.6,I444001 Sandel Georg,300
70491447,70585364,Maku Nsingi,Sebastiao,,,1/11/1967,m,DE,Grundackerstrasse,16,8304,Wallisellen,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL PLUS,","Helsana BeneFit PLUS Hausarzt,HOSPITAL PLUS,","KVGO,VVG,","450.05,114.4,",564.45,I444001 Sandel Georg,300
70491447,70602314,Lisi,Tiziano,,,7/14/2007,m,DE,Grundackerstrasse,16,8304,Wallisellen,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","117.05,1.65,0,7.85,11.25,13.25,",151.05,I444001 Sandel Georg,0
70491447,70727332,Rotunjanu,Bogdan-Andrei,,,1/19/2013,m,DE,Grundackerstrasse,16,8304,Wallisellen,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","117.05,.9,0,4.5,7.55,13.25,",143.25,I444001 Sandel Georg,0
70540888,70540888,Hutmann,Rodolfo,,,3/28/1951,m,IT,Via delle Scuole,3,6900,Paradiso,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banca dello Stato del Cantone Ticino,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","467.45,",467.45,F143521 Faeli Mehran,1500
70608079,70608079,Seixas,Abygaëlle Dalyana,41984366094,Abygaelle.Seixas@mymail.com,9/24/2000,w,DE,Kohlplatzweg,1,6454,Flüelen,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,VVG,","184.05,20.7,2.25,9.4,8.6,9.95,15.4,13.95,",264.3,V169804 Gamma Philipp,2500
70608079,70608079,Seixas,Abygaëlle Dalyana,41984366094,Abygaelle.Seixas@mymail.com,9/24/2000,w,DE,Kohlplatzweg,1,6454,Flüelen,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,VVG,","184.05,20.7,2.25,9.4,8.6,9.95,15.4,13.95,",264.3,V169804 Gamma Philipp,2500
70640483,70640483,Ferreira,Gaspar Ricardo,419810396797,Gaspar.Ferreira@mymail.com,3/31/1972,m,DE,Chrumbacherweg,3,5612,Villmergen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"COMPLETA,HOSPITAL FLEX,Helsana Advocare PLUS,","COMPLETA,HOSPITAL FLEX,Helsana Advocare PLUS,","VVG,VVG,VVG,","47.05,26.2,7.35,",80.6,  ,
70640483,70726537,Derungs,Cigdem,,,3/17/1979,w,DE,Chrumbacherweg,3,5612,Villmergen,CH,,,,,,,,,"COMPLETA,DENTAplus,HOSPITAL FLEX,Helsana Advocare PLUS,","COMPLETA,DENTAplus,HOSPITAL FLEX,Helsana Advocare PLUS,","VVG,VVG,VVG,VVG,","44.4,21.25,24.6,7.35,",97.6,  ,
70640483,70731111,Ostermayer,Adrian Hagen,,,4/13/2013,m,DE,Chrumbacherweg,3,5612,Villmergen,CH,,,,,,,,,"COMPLETA,DENTAplus,HOSPITAL PLUS,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,PRIMEO,","COMPLETA,DENTAplus,HOSPITAL PLUS,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,PRIMEO,","VVG,VVG,VVG,VVG,VVG,VVG,VVG,","22.05,14.85,10.1,0,4.3,4.5,6.45,",62.25,  ,0
70677432,70677432,Feliu,Luca Nicola,41983723318,Luca.Feliu@mymail.com,2/8/1981,m,DE,Untere Postmatte,1,6468,Attinghausen,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,","Helsana BASIS Standard,COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,","KVGO,VVG,VVG,VVG,VVG,","423.45,49.75,19.8,3.65,9.8,",506.45,  ,300
70685072,70685072,Diener,Tobias,41986499336,Tobias.Diener@mymail.com,6/17/1979,m,DE,Geissholz,177,3860,Schattenhalb,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,ASR (Auszahlungsscheck),,,Helsana PREMED-24,,"Helsana PREMED-24,","KVGO,","327.05,",327.05,  ,2500
70752045,70752045,Delgado Rincon,Tomas,41984233525,Tomas.Delgado_Rincon@mymail.com,1/24/1981,m,DE,Paul-Clairmont-Strasse,30,8055,Zürich,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL ECO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL ECO,","KVGO,VVG,VVG,VVG,","439.65,47.25,12.35,3,",502.25,P436831 Arztpraxis Friesenberg AG ,1000
70752045,70752046,Nguyen,Zerina,,,10/28/1989,w,DE,Paul-Clairmont-Strasse,30,8055,Zürich,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL ECO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL ECO,","KVGO,VVG,VVG,VVG,","477.55,51.35,13.3,2.75,",544.95,P436831 Arztpraxis Friesenberg AG ,300
70755912,70755912,Oberson,Xénia,,,7/2/1995,w,DE,Bechburg,81,4718,Holderbank SO,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Telemedizin,,"Helsana BeneFit PLUS Telemedizin,","KVGO,","426.65,",426.65,  ,300
70791753,70791752,Röthlisberger,Antonio,419810060023,Antonio.Roethlisberger@mymail.com,6/24/1978,m,DE,Schulgasse,11,4057,Basel,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","568.75,",568.75,V019112 Dervisoglu Ahmet Rasim,300
70791753,70791753,Minak Basic,Lara,41985103275,Lara.MinakBasic@mymail.com,2/8/1981,w,DE,Schulgasse,11,4057,Basel,CH,Standardzahler,QR-Rechnung,,,ASR (Auszahlungsscheck),,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","611.95,",611.95,V019112 Dervisoglu Ahmet Rasim,300
70791753,70791755,Röthlisberger,Jessie-May,,,11/16/2002,w,DE,Schulgasse,11,4057,Basel,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","453.95,",453.95,E108512 Kaymak Can,300
70791753,70791757,Röthlisberger,Jean-Paul,,,9/19/2009,m,DE,Schulgasse,11,4057,Basel,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,","KVGO,VVG,VVG,VVG,VVG,","148.85,25.25,37.45,1,0,",212.55,E108512 Kaymak Can,0
70791753,100428528,Röthlisberger,Pedro Pascual,,,11/25/2018,m,DE,Schulgasse,11,4057,Basel,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","148.85,",148.85,E108512 Kaymak Can,0
70807194,70807194,Shaqiri,Luljete,41984622791,Luljete.Shaqiri@mymail.com,5/28/1992,w,FR,Paul Chautemps,396,74520,Valleiry,FR,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banque Cantonale du Valais,Helsana BASIS Ausland,"COMPLETA,HOSPITAL COMFORT,","Helsana BASIS Ausland,COMPLETA,HOSPITAL COMFORT,","KVGO,VVG,VVG,","189.8,48.65,128.15,",366.6,  ,300
70807194,100048791,Yaseir Mahieldein,Erich,,,4/22/2017,m,FR,Paul Chautemps,396,74520,Valleiry,FR,,,,,,,,Helsana BASIS Ausland,,"Helsana BASIS Ausland,","KVGO,","51,",51,  ,0
70807194,100983962,Yaseir Mahieldein,Mona,,,3/28/2021,w,FR,Paul Chautemps,396,74520,Valleiry,FR,,,,,,,,Helsana BASIS Ausland,,"Helsana BASIS Ausland,","KVGO,","51,",51,  ,0
70826396,70826396,Al Eneza,Amar,41982430063,Amar.AlEneza@mymail.com,5/27/1996,m,DE,Kirschgartenweg,8,4153,Reinach BL,CH,Standardzahler,QR-Rechnung,,,ASR (Auszahlungsscheck),,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL FLEX,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL FLEX,","KVGO,VVG,VVG,VVG,","463.65,44.45,18.4,20.9,",547.4,A018412 Roulet Felix,300
70834688,70834688,Schlienger,Monika,,,10/25/1953,w,DE,Lebristweg,45,8049,Zürich,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"HOSPITAL ECO,SANA,TOP,","Helsana BASIS Standard,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","456.35,10.25,31.35,40.35,",538.3,  ,2500
70864792,100683108,Laborede,Nicole,,,12/8/2019,w,DE,Greppenweg,7,5415,Nussbaumen AG,CH,,,,,,,,,"COMPLETA,DENTAplus,Helsana Advocare EXTRA,","COMPLETA,DENTAplus,Helsana Advocare EXTRA,","VVG,VVG,VVG,","22.6,13,0,",35.6,  ,
70864792,100683108,Laborede,Nicole,,,12/8/2019,w,DE,Dättnauerstrasse,120,8406,Winterthur,CH,,,,,,,,,"COMPLETA,DENTAplus,Helsana Advocare EXTRA,","COMPLETA,DENTAplus,Helsana Advocare EXTRA,","VVG,VVG,VVG,","22.6,13,0,",35.6,  ,
70864792,101344128,Thommen,Robert,,,2/28/2023,m,DE,Greppenweg,7,5415,Nussbaumen AG,CH,,,,,,,,,"COMPLETA,Helsana Advocare EXTRA,","COMPLETA,Helsana Advocare EXTRA,","VVG,VVG,","23.15,0,",23.15,  ,
80746586,60610541,Guarini,Pasquale,,,10/8/2006,m,FR,Avenue du Denantou,8,1006,Lausanne,CH,,,,,,,,Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","152.35,",152.35,  ,0
95181288,95181288,Mujic,Cristina,41986708941,Cristina.Mujic@mymail.com,7/11/1976,w,DE,Spitalstrasse,75,6004,Luzern,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL ECO,PREVEA Unfall,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL ECO,PREVEA Unfall,","KVGO,VVG,VVG,VVG,","311.55,50.25,3.55,11.5,",376.85,X056803 Pilatus Praxis AG ,2500
95181288,95224761,Mujic,Leslie,,,2/25/2007,m,DE,Spitalstrasse,75,6004,Luzern,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare EXTRA,PREVEA Unfall,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare EXTRA,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,VVG,","113.85,25.35,9.1,24.75,0,7.85,",180.9,B057803 Weymann Sibylla,0
95181288,95345444,Mujic,Kurt,,,12/24/2009,m,DE,Spitalstrasse,75,6004,Luzern,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare EXTRA,PREVEA Unfall,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare EXTRA,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,VVG,","113.85,22.6,17.2,9.25,0,4.5,",167.4,B057803 Weymann Sibylla,0
95190074,95190074,Fuser,Sylvain,,,10/17/1954,m,DE,Brüggliweg,14,3312,Fraubrunnen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","374.85,6.25,23.8,27.15,",432.05,G449102 Selz-Keller Katharina,2500
95285457,95205098,Keller,Nathalie Sharleen Georgia,,,12/21/1980,w,FR,Place Communale,8,1895,Vionnaz,CH,,,,,,,,,"HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","VVG,VVG,VVG,VVG,","2.45,9.95,24.45,14.4,",51.25,  ,
95285457,95285457,Schlegel,Ricky,41987817974,Ricky.Schlegel@mymail.com,3/14/1982,m,FR,Place Communale,8,1895,Vionnaz,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"DENTAplus,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","DENTAplus,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","VVG,VVG,VVG,VVG,VVG,","17.8,2.45,11.6,18.55,12.25,",62.65,  ,
95285457,95285457,Schlegel,Ricky,41987817974,Ricky.Schlegel@mymail.com,3/14/1982,m,FR,Place Communale,8,1895,Vionnaz,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"DENTAplus,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","DENTAplus,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","VVG,VVG,VVG,VVG,VVG,","17.8,2.45,11.6,18.55,12.25,",62.65,  ,
95285457,95459651,Keller,Antonio,,,2/18/2012,m,FR,Place Communale,8,1895,Vionnaz,CH,,,,,,,,,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","VVG,VVG,VVG,VVG,VVG,","22.05,8.9,.8,0,4.5,",36.25,  ,
95290360,95290360,Perrins,Leonie Sophie,,,11/22/1960,m,DE,Sagenwaldstrasse,2,6033,Buchrain,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"HOSPITAL ECO,SANA,WORLD,","HOSPITAL ECO,SANA,WORLD,","VVG,VVG,VVG,","8.05,23.8,7.9,",39.75,  ,
95342501,95342501,El Moutaouakil,Nora,41987034963,Nora.ElMoutaouakil@mymail.com,5/31/1957,w,DE,Oerlifallstieg,10,8200,Schaffhausen,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"HOSPITAL FLEX,Helsana Advocare PLUS,SANA,TOP,","HOSPITAL FLEX,Helsana Advocare PLUS,SANA,TOP,","VVG,VVG,VVG,VVG,","134.45,9.8,29.8,29.4,",203.45,  ,
